so_id,architecture,seed_file,source_url,source_title,source_author_display_name,source_author_url,source_creation_date,source_content_license,adaptation_note,retrieved_via,retrieved_date
37624102,CNN,data/seed_programs/cnn/CNN_37624102_correct.py,https://stackoverflow.com/questions/37624102/very-basic-keras-cnn-with-2-classes-giving-inexplicable-answers,Very basic Keras CNN with 2 classes giving inexplicable answers,anonymous_coward,https://stackoverflow.com/users/6421420/anonymous-coward,2016-06-03,CC BY-SA 3.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
50079585,CNN,data/seed_programs/cnn/CNN_50079585_correct.py,https://stackoverflow.com/questions/50079585/cnn-with-keras-accuracy-not-improving,"CNN with keras, accuracy not improving",Laxmikant,https://stackoverflow.com/users/4881948/laxmikant,2018-04-28,CC BY-SA 3.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
52448552,CNN,data/seed_programs/cnn/CNN_52448552_correct.py,https://stackoverflow.com/questions/52448552/cannot-find-the-reason-behind-very-low-accuracy-in-my-convolutional-net-model-wi,Cannot find the reason behind very low accuracy in my Convolutional Net model with Keras,asn,https://stackoverflow.com/users/7547722/asn,2018-09-21,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
59325381,CNN,data/seed_programs/cnn/CNN_59325381_correct.py,https://stackoverflow.com/questions/59325381/low-accuracy-after-training-a-cnn,Low accuracy after training a CNN,Reda El Hail,https://stackoverflow.com/users/9802019/reda-el-hail,2019-12-13,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
64522751,CNN,data/seed_programs/cnn/CNN_64522751_correct.py,https://stackoverflow.com/questions/64522751/poor-accuracy-of-cnn-model-with-keras,Poor accuracy of CNN model with Keras,thenoirlatte,https://stackoverflow.com/users/1635253/thenoirlatte,2020-10-25,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
65376589,CNN,data/seed_programs/cnn/CNN_65376589_correct.py,https://stackoverflow.com/questions/65376589/i-created-a-cifar10-dataset-learning-model-using-a-cnn-model-why-is-there-an-er,I created a CIFAR10 dataset learning model using a CNN model. Why is there an error?,kkkj kkkh,https://stackoverflow.com/users/14857968/kkkj-kkkh,2020-12-20,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
70178206,CNN,data/seed_programs/cnn/CNN_70178206_correct.py,https://stackoverflow.com/questions/70178206/keras-tenserflow-cannot-make-model-fit-work,Keras/Tenserflow - Cannot make model.fit() work,Jac,https://stackoverflow.com/users/17557358/jac,2021-12-01,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
70818269,CNN,data/seed_programs/cnn/CNN_70818269_correct.py,https://stackoverflow.com/questions/70818269/tensorflow-valueerror-unexpected-result-of-train-function-empty-logs-pleas,"Tensorflow ValueError: Unexpected result of `train_function` (Empty logs). Please use `Model.compile(..., run_eagerly=True)",Canputer,https://stackoverflow.com/users/15710847/canputer,2022-01-23,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
70848143,CNN,data/seed_programs/cnn/CNN_70848143_correct.py,https://stackoverflow.com/questions/70848143/mean-iou-in-tensorflow-not-updating-resulting-in-correct-value,Mean_iou in tensorflow not updating/resulting in correct value,Martin Wangen-Eriksen,https://stackoverflow.com/users/11030874/martin-wangen-eriksen,2022-01-25,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
72328867,CNN,data/seed_programs/cnn/CNN_72328867_correct.py,https://stackoverflow.com/questions/72328867/valueerror-input-0-of-layer-sequential-13-is-incompatible-with-the-layer-exp,"ValueError: Input 0 of layer ""sequential_13"" is incompatible with the layer: expected shape=(None, 21367, 9000), found shape=(None, 9000)",Fatin Faiaz Isty,https://stackoverflow.com/users/19167230/fatin-faiaz-isty,2022-05-21,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
